Product Name,Description,Category,Origin,Packaging,Carbon (kg),Water (L),Transport Mode,Animal-Based,Imported,Eco Score
Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Brazil,None,9.51,2569,Ship,False,True,71
Imported Shampoo,"Fragrance-free, paper tube",Personal Care,Germany,Paper,29.19,6702,Air,False,True,14
Local Lotion,"Plastic case, roll-on type",Personal Care,USA,Foil,11.73,1699,Air,False,True,59
Shampoo,"Fragrance-free, paper tube",Personal Care,China,Paper,6.47,17739,Truck,False,True,48
Organic Almond Milk,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Glass,25.09,13886,Truck,True,True,8
Local Recycled Sunglasses,"Reusable, printed cotton",Accessories,Germany,Plastic,20.34,18912,Ship,False,True,8
Organic Beef Steak,"Frozen, plastic wrap, processed",Food,USA,Paper,7.27,11620,Truck,True,True,48
Lotion,"Gel-based, recyclable bottle",Personal Care,Brazil,Paper,5.9,9309,Truck,False,True,66
Eco Beef Steak,"Farm-grown, no packaging",Food,Germany,Cardboard,20.45,8860,Truck,True,True,28
Almond Milk,"Vegan, packaged in TetraPak",Food,India,Paper,18.13,1605,Ship,True,False,51
Imported Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,Germany,Cardboard,2.51,13092,Air,False,True,54
Organic Tofu,"Farm-grown, no packaging",Food,Germany,Cardboard,16.86,7805,Ship,False,True,47
Local Organic Cotton Tote,"Recycled material, cloth lining",Accessories,USA,Foil,28.2,11133,Ship,False,True,17
Imported Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,Germany,Cardboard,22.26,13680,Truck,True,True,14
Organic Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,India,Glass,26.59,8142,Air,False,False,21
Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,India,None,16.82,12035,Air,False,False,33
Local Paneer,"Fresh, dairy-based, paper-packed",Food,India,Paper,20.47,9911,Ship,True,False,31
Local Shampoo,"Biodegradable, compostable wrapper",Personal Care,USA,Compost,13.85,3019,Ship,False,True,62
Imported Tofu,"Farm-grown, no packaging",Food,China,Plastic,29.87,4965,Truck,False,True,17
Organic Tofu,"Organic, non-GMO, paper-wrapped",Food,USA,Cardboard,7.19,5713,Ship,False,True,70
Local Apples,"Frozen, plastic wrap, processed",Food,USA,None,8.83,13290,Ship,False,True,52
Imported Cork Bag,"Reusable, printed cotton",Accessories,Portugal,Cardboard,12.69,7055,Truck,False,True,56
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,India,None,13.15,6866,Truck,False,False,61
Organic Lotion,"Plastic case, roll-on type",Personal Care,Brazil,Glass,10.41,14039,Air,False,True,37
Local Paneer,"Frozen, plastic wrap, processed",Food,Brazil,Cardboard,8.44,2005,Air,True,True,55
Organic Chicken Nuggets,"Mixed nuts, oats, wrapped in foil",Food,Germany,TetraPak,3.74,12303,Truck,True,True,54
Eco Cork Bag,"Recycled material, cloth lining",Accessories,India,Cardboard,18.67,9906,Air,False,False,34
Cork Bag,"Plastic-free, eco-friendly frame",Accessories,India,Foil,11.75,9117,Ship,False,False,59
Organic Body Wash,"Biodegradable, compostable wrapper",Personal Care,China,Cardboard,16.24,16795,Ship,False,True,30
Local Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,Cardboard,27.72,6538,Truck,False,True,27
Eco Body Wash,"Gel-based, recyclable bottle",Personal Care,China,None,24.46,752,Truck,False,True,46
Local Paneer,"Plastic-wrapped, imported, grass-fed",Food,China,TetraPak,10.46,10543,Truck,True,True,44
Imported Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,China,TetraPak,23.89,6859,Air,False,True,25
Imported Recycled Sunglasses,"Reusable, printed cotton",Accessories,Brazil,Glass,1.0,436,Truck,False,True,93
Granola Bar,"Mixed nuts, oats, wrapped in foil",Food,Portugal,None,9.54,14709,Ship,False,True,47
Imported Energy Drink,"Plastic bottle, filtered water",Beverage,Brazil,Glass,4.05,6945,Ship,False,True,74
Organic Energy Drink,"Plastic bottle, filtered water",Beverage,Brazil,Plastic,24.36,88,Truck,False,True,37
Eco Local Apples,"Fresh, dairy-based, paper-packed",Food,Brazil,TetraPak,12.39,854,Ship,False,True,70
Eco Recycled Sunglasses,"Reusable, printed cotton",Accessories,India,Compost,7.76,11018,Ship,False,False,63
Eco Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Portugal,Foil,6.87,16493,Ship,False,True,50
Local Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,India,Paper,14.32,16514,Ship,False,False,39
Local Chicken Nuggets,"Fresh, dairy-based, paper-packed",Food,USA,Glass,21.55,7691,Air,True,True,17
Imported Bottled Water,"Glass bottle, no additives",Beverage,India,Glass,21.78,14235,Air,False,False,19
Imported Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,Foil,10.76,8078,Air,False,True,48
Local Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,Brazil,Plastic,27.37,13743,Ship,False,True,4
Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,Germany,Foil,6.03,14022,Ship,False,True,55
Bottled Water,"Plastic bottle, filtered water",Beverage,China,TetraPak,21.59,14468,Truck,False,True,24
Organic Energy Drink,"TetraPak, added vitamins",Beverage,USA,Paper,4.84,6637,Truck,False,True,73
Eco Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,Brazil,Paper,11.53,16857,Truck,False,True,39
Local Cork Bag,"Made of cork, shipped from Europe",Accessories,India,Paper,18.3,8881,Air,False,False,37
Organic Body Wash,"Gel-based, recyclable bottle",Personal Care,India,TetraPak,6.78,6531,Ship,False,False,74
Organic Cold Brew Coffee,"Glass bottle, no additives",Beverage,India,Foil,2.3,2829,Truck,False,False,91
Organic Organic Juice,"TetraPak, added vitamins",Beverage,India,Plastic,14.31,7471,Truck,False,False,48
Organic Deodorant,"Plastic case, roll-on type",Personal Care,Portugal,Plastic,3.1,13589,Ship,False,True,52
Local Organic Cotton Tote,"Recycled material, cloth lining",Accessories,India,Paper,7.4,3684,Truck,False,False,79
Imported Paneer,"Plastic-wrapped, imported, grass-fed",Food,India,Paper,18.3,12021,Air,True,False,20
Eco Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,China,Plastic,20.03,6246,Truck,False,True,33
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,India,Glass,7.03,3998,Ship,False,False,79
Almond Milk,"Organic, non-GMO, paper-wrapped",Food,Portugal,None,3.49,17693,Truck,True,True,44
Organic Cold Brew Coffee,"TetraPak, added vitamins",Beverage,USA,Cardboard,6.98,2435,Truck,False,True,78
Local Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,Portugal,None,7.08,19748,Air,False,True,32
Organic Energy Drink,"TetraPak, added vitamins",Beverage,China,TetraPak,16.2,11331,Air,False,True,31
Eco Bottled Water,"Glass bottle, no additives",Beverage,Germany,TetraPak,11.7,11119,Air,False,True,40
Organic Energy Drink,"TetraPak, added vitamins",Beverage,Germany,Foil,20.75,9815,Ship,False,True,35
Eco Organic Cotton Tote,"Recycled material, cloth lining",Accessories,China,Cardboard,6.34,7567,Ship,False,True,68
Energy Drink,"Aluminum can, roasted beans",Beverage,India,Foil,10.74,11213,Air,False,False,47
Eco Local Apples,"Fresh, dairy-based, paper-packed",Food,USA,Paper,6.79,765,Truck,False,True,81
Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,USA,Paper,28.61,12559,Ship,False,True,13
Local Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,Brazil,None,27.84,766,Truck,False,True,39
Local Shampoo,"Gel-based, recyclable bottle",Personal Care,China,Foil,29.12,6412,Ship,False,True,25
Eco Beef Steak,"Frozen, plastic wrap, processed",Food,Portugal,Glass,16.62,4592,Ship,True,True,43
Eco Beef Steak,"Farm-grown, no packaging",Food,India,TetraPak,6.96,18543,Air,True,False,30
Recycled Sunglasses,"Reusable, printed cotton",Accessories,India,Paper,1.56,19730,Air,False,False,48
Imported Local Apples,"Plastic-wrapped, imported, grass-fed",Food,Brazil,Paper,8.65,17146,Ship,False,True,44
Imported Energy Drink,"Aluminum can, roasted beans",Beverage,USA,Plastic,27.45,8475,Air,False,True,5
Local Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,None,7.3,15956,Truck,False,True,50
Bottled Water,"Plastic bottle, filtered water",Beverage,Brazil,Paper,28.61,1332,Ship,False,True,36
Imported Beef Steak,"Mixed nuts, oats, wrapped in foil",Food,Germany,Glass,5.05,18699,Ship,True,True,38
Eco Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,India,Paper,5.36,16611,Ship,False,False,57
Deodorant,"Fragrance-free, paper tube",Personal Care,Germany,Foil,4.24,16641,Ship,False,True,54
Local Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,India,Cardboard,22.32,14687,Ship,False,False,27
Local Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Germany,Plastic,25.32,9320,Truck,False,True,17
Organic Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Germany,TetraPak,23.95,16580,Ship,False,True,15
Chicken Nuggets,"Farm-grown, no packaging",Food,China,Glass,13.91,18343,Ship,True,True,22
Local Beef Steak,"Farm-grown, no packaging",Food,India,Glass,4.61,19174,Truck,True,False,43
Eco Organic Cotton Tote,"Recycled material, cloth lining",Accessories,USA,Glass,5.42,7580,Ship,False,True,70
Local Lotion,"Fragrance-free, paper tube",Personal Care,China,Glass,11.44,3425,Air,False,True,57
Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,USA,Foil,12.56,15539,Ship,False,True,39
Imported Organic Juice,"TetraPak, added vitamins",Beverage,Portugal,Plastic,8.5,338,Ship,False,True,68
Local Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,Portugal,Compost,5.6,14690,Air,False,True,45
Imported Paneer,"Frozen, plastic wrap, processed",Food,USA,TetraPak,6.54,2118,Ship,True,True,68
Local Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,USA,Plastic,3.87,2658,Air,False,True,63
Organic Energy Drink,"Glass bottle, no additives",Beverage,Germany,TetraPak,5.76,11358,Air,False,True,52
Paneer,"Farm-grown, no packaging",Food,China,Foil,29.05,14521,Air,True,True,0
Local Deodorant,"Plastic case, roll-on type",Personal Care,China,None,2.34,3351,Air,False,True,75
Deodorant,"Biodegradable, compostable wrapper",Personal Care,Germany,Glass,4.98,10618,Truck,False,True,65
Eco Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Germany,TetraPak,15.29,19780,Air,False,True,16
Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,Brazil,Compost,14.57,3060,Air,False,True,50
Eco Paneer,"Fresh, dairy-based, paper-packed",Food,Brazil,Plastic,22.28,6385,Ship,True,True,19
Eco Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Portugal,Foil,5.07,284,Truck,False,True,85
Eco Granola Bar,"Plastic-wrapped, imported, grass-fed",Food,Germany,Cardboard,29.02,15986,Air,False,True,0
Imported Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Portugal,Glass,0.59,6908,Truck,False,True,81
Imported Bottled Water,"Aluminum can, roasted beans",Beverage,Portugal,TetraPak,24.36,11955,Truck,False,True,24
Imported Bottled Water,"Glass bottle, no additives",Beverage,India,None,0.96,6441,Air,False,False,77
Paneer,"Farm-grown, no packaging",Food,Portugal,Paper,6.06,16787,Ship,True,True,40
Eco Body Wash,"Fragrance-free, paper tube",Personal Care,Brazil,None,13.95,9690,Truck,False,True,49
Organic Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,Paper,16.77,7603,Ship,False,True,47
Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Germany,Cardboard,8.93,11068,Air,False,True,46
Local Lotion,"Gel-based, recyclable bottle",Personal Care,Portugal,Glass,3.21,19347,Air,False,True,41
Local Energy Drink,"Aluminum can, roasted beans",Beverage,Germany,Glass,14.83,3077,Truck,False,True,60
Local Cold Brew Coffee,"Glass bottle, no additives",Beverage,China,None,3.79,11314,Ship,False,True,66
Organic Tofu,"Mixed nuts, oats, wrapped in foil",Food,China,Compost,23.96,5827,Truck,False,True,37
Cork Bag,"Made of cork, shipped from Europe",Accessories,Portugal,Glass,3.45,2652,Truck,False,True,84
Imported Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,Germany,Foil,10.27,2432,Truck,False,True,71
Organic Cork Bag,"Recycled material, cloth lining",Accessories,Brazil,Glass,5.57,18364,Truck,False,True,48
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,TetraPak,12.79,7730,Ship,False,True,55
Organic Bottled Water,"Glass bottle, no additives",Beverage,Germany,Cardboard,23.72,11639,Air,False,True,15
Imported Local Apples,"Vegan, packaged in TetraPak",Food,India,Paper,5.67,4826,Ship,False,False,80
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,India,Foil,17.41,10428,Truck,False,False,46
Imported Cork Bag,"Recycled material, cloth lining",Accessories,Portugal,Foil,28.14,17791,Air,False,True,0
Cork Bag,"Reusable, printed cotton",Accessories,Portugal,TetraPak,11.72,15969,Air,False,True,31
Eco Deodorant,"Biodegradable, compostable wrapper",Personal Care,USA,Compost,26.15,6964,Air,False,True,20
Local Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,USA,Glass,29.75,6343,Truck,False,True,24
Eco Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,India,Compost,4.21,16019,Ship,True,False,50
Organic Deodorant,"Gel-based, recyclable bottle",Personal Care,Germany,None,16.14,19926,Ship,False,True,24
Local Paneer,"Vegan, packaged in TetraPak",Food,India,None,15.26,12218,Air,True,False,26
Organic Granola Bar,"Fresh, dairy-based, paper-packed",Food,USA,Compost,10.76,4413,Ship,False,True,66
Organic Energy Drink,"TetraPak, added vitamins",Beverage,USA,None,4.89,13346,Air,False,True,50
Organic Almond Milk,"Farm-grown, no packaging",Food,China,TetraPak,24.24,1176,Air,True,True,25
Local Energy Drink,"TetraPak, added vitamins",Beverage,China,Plastic,14.88,185,Truck,False,True,56
Organic Energy Drink,"Plastic bottle, filtered water",Beverage,USA,Foil,11.61,13640,Ship,False,True,45
Shampoo,"Fragrance-free, paper tube",Personal Care,India,Plastic,9.14,10708,Air,False,False,41
Eco Tofu,"Frozen, plastic wrap, processed",Food,India,Glass,23.92,8000,Ship,False,False,37
Imported Energy Drink,"TetraPak, added vitamins",Beverage,Brazil,Foil,4.19,16991,Truck,False,True,54
Organic Tofu,"Farm-grown, no packaging",Food,USA,Cardboard,14.62,14654,Air,False,True,27
Eco Deodorant,"Fragrance-free, paper tube",Personal Care,Brazil,TetraPak,16.24,18127,Air,False,True,17
Organic Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Portugal,Glass,24.56,1547,Ship,False,True,43
Eco Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,China,Glass,10.08,8788,Ship,False,True,58
Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,India,Compost,23.62,7953,Air,False,False,28
Imported Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,USA,Foil,28.1,7134,Ship,False,True,25
Local Body Wash,"Plastic case, roll-on type",Personal Care,Germany,None,16.15,2666,Air,False,True,48
Organic Shampoo,"Gel-based, recyclable bottle",Personal Care,India,Paper,16.58,18719,Ship,False,False,30
Tofu,"Plastic-wrapped, imported, grass-fed",Food,Germany,None,4.93,8384,Truck,False,True,70
Organic Chicken Nuggets,"Vegan, packaged in TetraPak",Food,Germany,Glass,18.41,13588,Ship,True,True,22
Shampoo,"Gel-based, recyclable bottle",Personal Care,Portugal,TetraPak,7.11,7803,Ship,False,True,66
Eco Beef Steak,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Foil,23.98,19091,Air,True,True,0
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,Germany,Paper,25.37,18578,Truck,False,True,8
Local Deodorant,"Fragrance-free, paper tube",Personal Care,Brazil,Glass,16.23,17609,Air,False,True,18
Organic Tofu,"Vegan, packaged in TetraPak",Food,USA,None,10.19,8638,Truck,False,True,58
Organic Cold Brew Coffee,"TetraPak, added vitamins",Beverage,USA,Foil,27.25,3637,Truck,False,True,34
Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,USA,Compost,21.07,14726,Ship,False,True,24
Deodorant,"Gel-based, recyclable bottle",Personal Care,Portugal,Foil,26.95,19070,Truck,False,True,4
Eco Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,Germany,Foil,6.65,15462,Truck,True,True,42
Local Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Portugal,Glass,9.42,6497,Air,False,True,55
Local Almond Milk,"Frozen, plastic wrap, processed",Food,India,Cardboard,28.03,10233,Ship,True,False,14
Imported Bottled Water,"TetraPak, added vitamins",Beverage,India,Plastic,17.04,2144,Ship,False,False,52
Imported Bottled Water,"Aluminum can, roasted beans",Beverage,India,None,16.03,8847,Truck,False,False,51
Organic Juice,"Plastic bottle, filtered water",Beverage,Brazil,None,29.06,3076,Ship,False,True,31
Local Organic Juice,"Aluminum can, roasted beans",Beverage,Germany,Paper,15.03,19428,Ship,False,True,27
Imported Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Brazil,Foil,2.48,18391,Truck,False,True,55
Organic Tofu,"Fresh, dairy-based, paper-packed",Food,Germany,TetraPak,23.37,8113,Truck,False,True,33
Local Deodorant,"Plastic case, roll-on type",Personal Care,Portugal,Plastic,2.0,14607,Ship,False,True,52
Local Deodorant,"Biodegradable, compostable wrapper",Personal Care,USA,Plastic,16.77,6836,Truck,False,True,39
Body Wash,"Gel-based, recyclable bottle",Personal Care,China,Glass,26.59,9594,Truck,False,True,23
Eco Deodorant,"Plastic case, roll-on type",Personal Care,USA,None,16.81,2333,Ship,False,True,58
Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Portugal,Cardboard,18.29,13122,Air,False,True,23
Vegan Leather Wallet,"Reusable, printed cotton",Accessories,Brazil,Cardboard,0.3,7596,Air,False,True,70
Granola Bar,"Frozen, plastic wrap, processed",Food,India,None,3.56,15514,Truck,False,False,62
Imported Organic Juice,"Plastic bottle, filtered water",Beverage,Germany,Plastic,27.66,15359,Truck,False,True,0
Local Organic Cotton Tote,"Reusable, printed cotton",Accessories,China,None,12.48,3895,Truck,False,True,64
Organic Cotton Tote,"Reusable, printed cotton",Accessories,China,TetraPak,3.25,1414,Ship,False,True,87
Eco Energy Drink,"Plastic bottle, filtered water",Beverage,Brazil,Plastic,17.61,3547,Ship,False,True,43
Organic Tofu,"Mixed nuts, oats, wrapped in foil",Food,USA,Cardboard,18.72,16219,Air,False,True,16
Eco Bottled Water,"Plastic bottle, filtered water",Beverage,India,Compost,26.88,15901,Air,False,False,6
Local Body Wash,"Biodegradable, compostable wrapper",Personal Care,Brazil,Foil,9.82,7946,Ship,False,True,61
Local Energy Drink,"Glass bottle, no additives",Beverage,China,Plastic,19.17,12321,Truck,False,True,23
Local Beef Steak,"Mixed nuts, oats, wrapped in foil",Food,China,Plastic,15.96,10308,Ship,True,True,24
Organic Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Germany,Glass,27.39,16559,Air,False,True,0
Local Apples,"Vegan, packaged in TetraPak",Food,China,Plastic,10.41,18171,Air,False,True,19
Organic Lotion,"Fragrance-free, paper tube",Personal Care,India,Foil,12.94,18259,Ship,False,False,39
Local Paneer,"Vegan, packaged in TetraPak",Food,China,Compost,9.69,5375,Air,True,True,46
Local Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,Germany,Compost,25.17,10169,Truck,False,True,25
Eco Bottled Water,"Plastic bottle, filtered water",Beverage,China,Glass,21.28,19892,Air,False,True,4
Organic Granola Bar,"Vegan, packaged in TetraPak",Food,Portugal,Foil,14.76,16384,Air,False,True,24
Shampoo,"Biodegradable, compostable wrapper",Personal Care,Germany,TetraPak,1.68,1401,Air,False,True,80
Imported Shampoo,"Biodegradable, compostable wrapper",Personal Care,Portugal,None,13.06,12725,Air,False,True,34
Eco Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,USA,Plastic,10.86,14738,Truck,True,True,25
Organic Granola Bar,"Vegan, packaged in TetraPak",Food,Germany,None,29.24,9539,Ship,False,True,18
Imported Bottled Water,"Plastic bottle, filtered water",Beverage,China,Paper,18.56,3288,Truck,False,True,52
Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,USA,None,23.0,5791,Air,False,True,28
Local Deodorant,"Biodegradable, compostable wrapper",Personal Care,USA,Paper,24.74,7057,Truck,False,True,32
Organic Shampoo,"Plastic case, roll-on type",Personal Care,China,Paper,3.69,13074,Air,False,True,52
Organic Cotton Tote,"Recycled material, cloth lining",Accessories,USA,Cardboard,6.01,11117,Air,False,True,51
Eco Bottled Water,"Glass bottle, no additives",Beverage,Germany,TetraPak,10.69,13962,Ship,False,True,47
Local Lotion,"Fragrance-free, paper tube",Personal Care,India,Foil,20.06,14154,Truck,False,False,32
Local Cork Bag,"Recycled material, cloth lining",Accessories,India,Plastic,24.23,6627,Truck,False,False,29
Imported Beef Steak,"Fresh, dairy-based, paper-packed",Food,Germany,Compost,9.55,15586,Ship,True,True,35
Imported Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Portugal,Paper,25.07,13711,Truck,False,True,18
Organic Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Plastic,3.28,5534,Truck,False,True,68
Imported Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,USA,TetraPak,22.57,4489,Ship,False,True,42
Eco Local Apples,"Farm-grown, no packaging",Food,USA,Foil,14.51,8041,Air,False,True,40
Local Body Wash,"Plastic case, roll-on type",Personal Care,Portugal,TetraPak,15.26,13832,Truck,False,True,38
Local Organic Cotton Tote,"Reusable, printed cotton",Accessories,Portugal,Compost,11.13,2169,Truck,False,True,69
Imported Energy Drink,"Plastic bottle, filtered water",Beverage,China,Paper,9.05,11183,Truck,False,True,55
Imported Body Wash,"Biodegradable, compostable wrapper",Personal Care,Brazil,Cardboard,17.2,8577,Truck,False,True,44
Eco Almond Milk,"Farm-grown, no packaging",Food,Portugal,Compost,8.69,12417,Air,True,True,34
Organic Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,Portugal,Glass,6.15,7524,Ship,True,True,58
Local Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,Glass,2.72,9214,Ship,False,True,72
Organic Paneer,"Farm-grown, no packaging",Food,China,Glass,15.91,18431,Ship,True,True,18
Imported Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,China,Glass,1.2,11161,Ship,False,True,71
Eco Cork Bag,"Reusable, printed cotton",Accessories,USA,TetraPak,13.88,15619,Air,False,True,27
Local Granola Bar,"Farm-grown, no packaging",Food,Germany,Plastic,22.08,13209,Truck,False,True,15
Imported Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Portugal,Plastic,14.22,7239,Truck,False,True,43
Local Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,USA,Cardboard,1.07,8518,Truck,True,True,66
Organic Vegan Leather Wallet,"Reusable, printed cotton",Accessories,Portugal,Cardboard,16.56,6077,Ship,False,True,50
Shampoo,"Biodegradable, compostable wrapper",Personal Care,Portugal,None,17.09,16534,Ship,False,True,28
Eco Almond Milk,"Vegan, packaged in TetraPak",Food,India,Plastic,2.58,12890,Truck,True,False,50
Imported Energy Drink,"Aluminum can, roasted beans",Beverage,Portugal,Glass,26.0,16779,Truck,False,True,10
Imported Organic Juice,"Aluminum can, roasted beans",Beverage,India,Paper,2.56,3863,Air,False,False,78
Cork Bag,"Reusable, printed cotton",Accessories,China,Foil,19.56,17488,Truck,False,True,22
Organic Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,USA,Cardboard,28.85,5320,Air,False,True,18
Organic Paneer,"Mixed nuts, oats, wrapped in foil",Food,Germany,Paper,5.81,4934,Air,True,True,55
Organic Granola Bar,"Farm-grown, no packaging",Food,India,None,13.11,16534,Air,False,False,31
Deodorant,"Biodegradable, compostable wrapper",Personal Care,Germany,Plastic,1.69,2688,Truck,False,True,77
Imported Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Brazil,TetraPak,18.63,4529,Ship,False,True,49
Eco Cork Bag,"Recycled material, cloth lining",Accessories,India,TetraPak,6.27,8677,Air,False,False,61
Imported Beef Steak,"Frozen, plastic wrap, processed",Food,India,Foil,16.0,14578,Ship,True,False,29
Imported Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,India,Cardboard,0.72,5493,Truck,False,False,89
Granola Bar,"Frozen, plastic wrap, processed",Food,USA,Compost,13.48,12044,Truck,False,True,45
Imported Energy Drink,"Plastic bottle, filtered water",Beverage,Brazil,Paper,21.59,18418,Truck,False,True,16
Local Cold Brew Coffee,"Glass bottle, no additives",Beverage,Portugal,Cardboard,11.2,16059,Air,False,True,31
Eco Vegan Leather Wallet,"Reusable, printed cotton",Accessories,USA,Foil,0.27,10272,Air,False,True,65
Eco Chicken Nuggets,"Vegan, packaged in TetraPak",Food,India,Plastic,10.33,15864,Air,True,False,19
Local Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Portugal,Foil,13.76,17050,Ship,False,True,34
Local Local Apples,"Plastic-wrapped, imported, grass-fed",Food,India,Compost,12.08,7642,Air,False,False,51
Imported Bottled Water,"TetraPak, added vitamins",Beverage,India,None,26.75,8662,Truck,False,False,30
Organic Organic Juice,"Plastic bottle, filtered water",Beverage,USA,TetraPak,15.68,18280,Truck,False,True,28
Organic Vegan Leather Wallet,"Reusable, printed cotton",Accessories,USA,Compost,24.8,19709,Ship,False,True,7
Imported Beef Steak,"Farm-grown, no packaging",Food,Portugal,Plastic,13.73,12938,Truck,True,True,23
Organic Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,USA,Plastic,9.33,7366,Truck,False,True,53
Eco Local Apples,"Mixed nuts, oats, wrapped in foil",Food,Germany,Compost,27.75,15389,Truck,False,True,10
Organic Energy Drink,"Glass bottle, no additives",Beverage,China,Cardboard,20.04,2178,Air,False,True,41
Organic Cotton Tote,"Reusable, printed cotton",Accessories,Brazil,Foil,2.85,6709,Ship,False,True,77
Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,India,Glass,3.27,773,Ship,False,False,93
Eco Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,Cardboard,19.29,19444,Ship,False,True,19
Imported Organic Juice,"Plastic bottle, filtered water",Beverage,Portugal,Glass,25.39,17578,Ship,False,True,10
Eco Bottled Water,"Aluminum can, roasted beans",Beverage,China,Cardboard,14.61,6232,Truck,False,True,54
Eco Organic Juice,"TetraPak, added vitamins",Beverage,Portugal,Paper,4.69,18530,Ship,False,True,49
Local Paneer,"Farm-grown, no packaging",Food,USA,None,28.18,17443,Air,True,True,0
Local Recycled Sunglasses,"Recycled material, cloth lining",Accessories,China,TetraPak,2.29,18556,Ship,False,True,54
Eco Energy Drink,"Plastic bottle, filtered water",Beverage,Brazil,Glass,14.35,14649,Air,False,True,28
Eco Energy Drink,"Plastic bottle, filtered water",Beverage,Germany,None,18.27,16315,Truck,False,True,27
Organic Cork Bag,"Recycled material, cloth lining",Accessories,Brazil,Paper,4.35,11508,Ship,False,True,64
Granola Bar,"Plastic-wrapped, imported, grass-fed",Food,USA,Glass,27.64,16766,Truck,False,True,7
Local Organic Juice,"Glass bottle, no additives",Beverage,USA,Cardboard,11.93,17285,Truck,False,True,38
Organic Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Germany,Compost,26.17,4211,Air,False,True,25
Lotion,"Biodegradable, compostable wrapper",Personal Care,China,Compost,7.22,15923,Ship,False,True,50
